Programme,Country,Region,Year,Quarter,Period,Budget_USD,Expenditure_USD,Budget_Utilization_Pct,Target_Output,Actual_Output,Output_Achievement_Pct,Outcome_Score_1to5,Community_Feedback_Score,Complaints_Received,Complaints_Resolved
Community Health,Kenya,East Africa,2021,Q1,2021-Q1,131048,118212,90.2,14453,14891,103.0,2.7,4.0,23,3
Community Health,Kenya,East Africa,2021,Q2,2021-Q2,411579,350680,85.2,33386,29966,89.8,4.6,4.6,7,19
Community Health,Kenya,East Africa,2021,Q3,2021-Q3,388977,276495,71.1,15402,14384,93.4,2.6,3.8,12,7
Community Health,Kenya,East Africa,2021,Q4,2021-Q4,309448,249573,80.7,23077,16799,72.8,4.0,4.9,24,9
Community Health,Kenya,East Africa,2022,Q1,2022-Q1,219576,190789,86.9,32556,34407,105.7,4.9,3.0,17,20
Community Health,Kenya,East Africa,2022,Q2,2022-Q2,208355,206898,99.3,22212,18602,83.7,2.7,4.6,8,11
Community Health,Kenya,East Africa,2022,Q3,2022-Q3,288863,205709,71.2,34589,28492,82.4,4.1,3.8,14,3
Community Health,Kenya,East Africa,2022,Q4,2022-Q4,440907,274167,62.2,49344,34023,69.0,4.0,4.8,15,10
Community Health,Kenya,East Africa,2023,Q1,2023-Q1,499372,376170,75.3,15312,12341,80.6,2.6,4.6,11,10
Community Health,Kenya,East Africa,2023,Q2,2023-Q2,237018,220553,93.1,4996,3160,63.3,4.0,3.7,18,7
Community Health,Kenya,East Africa,2023,Q3,2023-Q3,408629,375903,92.0,11563,12029,104.0,4.1,4.6,0,8
Community Health,Kenya,East Africa,2023,Q4,2023-Q4,310094,260300,83.9,40275,35520,88.2,3.5,4.9,18,13
Community Health,Kenya,East Africa,2024,Q1,2024-Q1,174765,142686,81.6,11988,7772,64.8,4.1,4.1,6,10
Community Health,Kenya,East Africa,2024,Q2,2024-Q2,140596,94752,67.4,26893,24897,92.6,2.6,4.2,18,7
Community Health,Kenya,East Africa,2024,Q3,2024-Q3,281777,255142,90.5,38086,23550,61.8,4.2,3.2,20,10
Community Health,Kenya,East Africa,2024,Q4,2024-Q4,154913,120326,77.7,34022,29593,87.0,2.9,3.4,23,20
Community Health,Kenya,East Africa,2025,Q1,2025-Q1,407760,277650,68.1,34151,26271,76.9,3.5,4.0,14,5
Community Health,Kenya,East Africa,2025,Q2,2025-Q2,404183,320645,79.3,25080,20806,83.0,3.5,4.7,5,4
Community Health,Kenya,East Africa,2025,Q3,2025-Q3,397651,261706,65.8,37818,28017,74.1,2.7,4.1,15,5
Community Health,Kenya,East Africa,2025,Q4,2025-Q4,486283,401867,82.6,37529,31952,85.1,4.7,4.1,20,1
Community Health,Ethiopia,East Africa,2021,Q1,2021-Q1,294697,289957,98.4,4216,4913,116.5,2.6,4.9,2,1
Community Health,Ethiopia,East Africa,2021,Q2,2021-Q2,420733,394170,93.7,2418,2271,93.9,3.2,3.2,13,4
Community Health,Ethiopia,East Africa,2021,Q3,2021-Q3,461736,308418,66.8,43333,26188,60.4,3.4,5.0,7,2
Community Health,Ethiopia,East Africa,2021,Q4,2021-Q4,390760,341417,87.4,11897,10325,86.8,4.9,3.3,0,6
Community Health,Ethiopia,East Africa,2022,Q1,2022-Q1,285149,214676,75.3,31885,23327,73.2,2.5,4.3,11,1
Community Health,Ethiopia,East Africa,2022,Q2,2022-Q2,343923,294648,85.7,43794,37895,86.5,3.5,4.0,21,19
Community Health,Ethiopia,East Africa,2022,Q3,2022-Q3,498544,381973,76.6,33667,29174,86.7,4.3,3.6,21,15
Community Health,Ethiopia,East Africa,2022,Q4,2022-Q4,28247,21390,75.7,2433,2253,92.6,3.1,3.2,17,17
Community Health,Ethiopia,East Africa,2023,Q1,2023-Q1,235659,158271,67.2,2776,2618,94.3,3.9,4.0,0,16
Community Health,Ethiopia,East Africa,2023,Q2,2023-Q2,398636,386267,96.9,20005,20125,100.6,2.7,3.6,17,9
Community Health,Ethiopia,East Africa,2023,Q3,2023-Q3,28987,21449,74.0,34913,32308,92.5,4.6,3.4,22,13
Community Health,Ethiopia,East Africa,2023,Q4,2023-Q4,442664,336306,76.0,13748,10967,79.8,3.5,5.0,3,3
Community Health,Ethiopia,East Africa,2024,Q1,2024-Q1,294928,198296,67.2,11758,8940,76.0,4.3,3.8,7,6
Community Health,Ethiopia,East Africa,2024,Q2,2024-Q2,344943,286766,83.1,36501,36927,101.2,4.6,4.6,8,11
Community Health,Ethiopia,East Africa,2024,Q3,2024-Q3,160155,151597,94.7,28011,24480,87.4,2.8,3.8,2,11
Community Health,Ethiopia,East Africa,2024,Q4,2024-Q4,232875,190826,81.9,32080,25505,79.5,3.5,4.0,18,7
Community Health,Ethiopia,East Africa,2025,Q1,2025-Q1,385552,385016,99.9,16801,15285,91.0,3.5,3.3,9,2
Community Health,Ethiopia,East Africa,2025,Q2,2025-Q2,362745,240679,66.3,44591,32361,72.6,4.9,4.8,24,1
Community Health,Ethiopia,East Africa,2025,Q3,2025-Q3,69021,66454,96.3,28560,30136,105.5,3.7,3.8,12,12
Community Health,Ethiopia,East Africa,2025,Q4,2025-Q4,309774,230200,74.3,33195,22396,67.5,4.0,4.2,1,20
Community Health,Uganda,East Africa,2021,Q1,2021-Q1,24954,16584,66.5,48061,59378,123.5,3.9,3.4,5,2
Community Health,Uganda,East Africa,2021,Q2,2021-Q2,282069,252990,89.7,30436,19669,64.6,2.6,3.7,20,10
Community Health,Uganda,East Africa,2021,Q3,2021-Q3,316671,288830,91.2,8249,5005,60.7,4.2,4.1,16,1
Community Health,Uganda,East Africa,2021,Q4,2021-Q4,140463,129014,91.8,15855,14508,91.5,4.3,4.2,22,18
Community Health,Uganda,East Africa,2022,Q1,2022-Q1,269299,214165,79.5,19766,15620,79.0,3.5,4.2,1,2
Community Health,Uganda,East Africa,2022,Q2,2022-Q2,378837,305146,80.5,20374,15447,75.8,3.2,3.0,17,18
Community Health,Uganda,East Africa,2022,Q3,2022-Q3,365038,291481,79.8,4156,4152,99.9,2.6,4.2,5,10
Community Health,Uganda,East Africa,2022,Q4,2022-Q4,28209,27548,97.7,15576,11117,71.4,2.9,3.9,18,4
Community Health,Uganda,East Africa,2023,Q1,2023-Q1,414397,263792,63.7,48708,47631,97.8,3.5,4.0,12,2
Community Health,Uganda,East Africa,2023,Q2,2023-Q2,176907,169588,95.9,12646,14771,116.8,3.0,3.0,18,7
Community Health,Uganda,East Africa,2023,Q3,2023-Q3,317111,299563,94.5,27503,27239,99.0,4.0,4.6,21,17
Community Health,Uganda,East Africa,2023,Q4,2023-Q4,193921,149681,77.2,27155,23834,87.8,4.4,4.8,24,4
Community Health,Uganda,East Africa,2024,Q1,2024-Q1,434448,360091,82.9,47174,36048,76.4,3.0,3.5,23,2
Community Health,Uganda,East Africa,2024,Q2,2024-Q2,282559,204167,72.3,24666,18043,73.1,3.9,4.2,1,3
Community Health,Uganda,East Africa,2024,Q3,2024-Q3,249160,192002,77.1,17213,12758,74.1,2.7,3.3,2,10
Community Health,Uganda,East Africa,2024,Q4,2024-Q4,337282,272264,80.7,42230,37162,88.0,3.0,3.6,19,12
Community Health,Uganda,East Africa,2025,Q1,2025-Q1,425565,323482,76.0,23389,24571,105.1,4.5,4.9,0,20
Community Health,Uganda,East Africa,2025,Q2,2025-Q2,163302,99296,60.8,31527,32390,102.7,2.9,4.8,15,7
Community Health,Uganda,East Africa,2025,Q3,2025-Q3,206547,161810,78.3,38243,43424,113.5,4.2,4.9,12,13
Community Health,Uganda,East Africa,2025,Q4,2025-Q4,117380,117236,99.9,46544,44827,96.3,4.3,3.6,18,12
Community Health,Tanzania,East Africa,2021,Q1,2021-Q1,64928,61805,95.2,42541,34394,80.8,3.1,3.3,9,7
Community Health,Tanzania,East Africa,2021,Q2,2021-Q2,393874,371677,94.4,6817,6255,91.8,3.8,4.3,2,8
Community Health,Tanzania,East Africa,2021,Q3,2021-Q3,100856,70158,69.6,26903,26062,96.9,3.3,3.8,22,20
Community Health,Tanzania,East Africa,2021,Q4,2021-Q4,100885,68992,68.4,27534,26649,96.8,4.9,4.3,10,11
