Country,Region,Year,S2030_Outcome,Indicator,Baseline_Value,Target_Value,Actual_Value,Achievement_Pct,Change_from_Baseline_Pct,Data_Source,Measurement_Method,Confidence_Level
Kenya,East Africa,2021,Climate & Environment,Communities with DRR plans,8007,11612,7945,68.4,-0.8,Survey,Key Informant,Medium
Kenya,East Africa,2021,Climate & Environment,Early warning systems active,2813,3465,2691,77.7,-4.3,Remote Sensing,Household Survey,High
Kenya,East Africa,2021,Climate & Environment,Hectares of land restored,7630,10252,11687,114.0,53.2,Partner Report,Focus Group,Medium
Kenya,East Africa,2021,Healthy & Safe Living,People with health access,4328,5170,3516,68.0,-18.8,Partner Report,Focus Group,Low
Kenya,East Africa,2021,Healthy & Safe Living,Vaccination rate (%),2649,3656,2825,77.3,6.6,Partner Report,Key Informant,High
Kenya,East Africa,2021,Healthy & Safe Living,Malnutrition cases treated,464,613,312,50.9,-32.8,Remote Sensing,Direct Count,Medium
Kenya,East Africa,2021,Migration & Identity,Migrants assisted,5476,7526,7481,99.4,36.6,Partner Report,Direct Count,Low
Kenya,East Africa,2021,Migration & Identity,Stateless persons supported,6730,9346,7395,79.1,9.9,Survey,Focus Group,Medium
Kenya,East Africa,2021,Migration & Identity,Legal documents issued,1844,2201,1460,66.3,-20.8,Admin Records,Key Informant,High
Kenya,East Africa,2021,Values & Dignity,GBV survivors supported,4175,5482,4659,85.0,11.6,Remote Sensing,Key Informant,High
Kenya,East Africa,2021,Values & Dignity,Mental health sessions,8983,10473,5602,53.5,-37.6,Partner Report,Direct Count,Low
Kenya,East Africa,2021,Values & Dignity,Protection cases resolved,6651,9231,5663,61.3,-14.9,Remote Sensing,Focus Group,Medium
Kenya,East Africa,2021,Economic Security,HHs with improved income,1429,1681,1318,78.4,-7.8,Admin Records,Key Informant,Low
Kenya,East Africa,2021,Economic Security,Savings group members,7983,10199,10780,105.7,35.0,Survey,Focus Group,High
Kenya,East Africa,2021,Economic Security,Jobs created or maintained,7237,10196,6259,61.4,-13.5,Remote Sensing,Direct Count,High
Kenya,East Africa,2022,Climate & Environment,Communities with DRR plans,6886,8638,9102,105.4,32.2,Remote Sensing,Household Survey,Medium
Kenya,East Africa,2022,Climate & Environment,Early warning systems active,6168,7539,4325,57.4,-29.9,Survey,Focus Group,High
Kenya,East Africa,2022,Climate & Environment,Hectares of land restored,8071,11220,11818,105.3,46.4,Remote Sensing,Direct Count,Low
Kenya,East Africa,2022,Healthy & Safe Living,People with health access,3606,4802,3844,80.0,6.6,Remote Sensing,Direct Count,High
Kenya,East Africa,2022,Healthy & Safe Living,Vaccination rate (%),4793,5696,4167,73.2,-13.1,Admin Records,Key Informant,Medium
Kenya,East Africa,2022,Healthy & Safe Living,Malnutrition cases treated,2708,3401,3867,113.7,42.8,Partner Report,Direct Count,High
Kenya,East Africa,2022,Migration & Identity,Migrants assisted,1749,2451,3646,148.8,108.5,Survey,Household Survey,Low
Kenya,East Africa,2022,Migration & Identity,Stateless persons supported,239,280,238,85.0,-0.4,Admin Records,Direct Count,Medium
Kenya,East Africa,2022,Migration & Identity,Legal documents issued,1612,1966,1886,95.9,17.0,Admin Records,Household Survey,High
Kenya,East Africa,2022,Values & Dignity,GBV survivors supported,7820,10745,8529,79.4,9.1,Admin Records,Household Survey,High
Kenya,East Africa,2022,Values & Dignity,Mental health sessions,4874,6817,7475,109.7,53.4,Partner Report,Focus Group,Low
Kenya,East Africa,2022,Values & Dignity,Protection cases resolved,9471,13766,13377,97.2,41.2,Survey,Household Survey,High
Kenya,East Africa,2022,Economic Security,HHs with improved income,5175,7077,7002,98.9,35.3,Partner Report,Household Survey,High
Kenya,East Africa,2022,Economic Security,Savings group members,9649,13547,11797,87.1,22.3,Survey,Household Survey,Low
Kenya,East Africa,2022,Economic Security,Jobs created or maintained,103,116,109,94.0,5.8,Admin Records,Key Informant,Medium
Kenya,East Africa,2023,Climate & Environment,Communities with DRR plans,8134,10446,9095,87.1,11.8,Survey,Focus Group,Low
Kenya,East Africa,2023,Climate & Environment,Early warning systems active,4874,6505,5591,85.9,14.7,Survey,Focus Group,High
Kenya,East Africa,2023,Climate & Environment,Hectares of land restored,1164,1424,1495,105.0,28.4,Remote Sensing,Focus Group,High
Kenya,East Africa,2023,Healthy & Safe Living,People with health access,8535,10823,10583,97.8,24.0,Survey,Direct Count,Low
Kenya,East Africa,2023,Healthy & Safe Living,Vaccination rate (%),3766,5498,4329,78.7,14.9,Partner Report,Household Survey,Medium
Kenya,East Africa,2023,Healthy & Safe Living,Malnutrition cases treated,5648,6887,7236,105.1,28.1,Admin Records,Direct Count,Medium
Kenya,East Africa,2023,Migration & Identity,Migrants assisted,5977,7304,7016,96.1,17.4,Partner Report,Focus Group,Low
Kenya,East Africa,2023,Migration & Identity,Stateless persons supported,6671,8217,7853,95.6,17.7,Remote Sensing,Key Informant,Medium
Kenya,East Africa,2023,Migration & Identity,Legal documents issued,5451,7288,6285,86.2,15.3,Admin Records,Key Informant,Medium
Kenya,East Africa,2023,Values & Dignity,GBV survivors supported,2536,3802,2572,67.6,1.4,Admin Records,Household Survey,High
Kenya,East Africa,2023,Values & Dignity,Mental health sessions,1062,1235,1276,103.3,20.2,Survey,Key Informant,High
Kenya,East Africa,2023,Values & Dignity,Protection cases resolved,7455,8731,9779,112.0,31.2,Admin Records,Key Informant,Low
Kenya,East Africa,2023,Economic Security,HHs with improved income,1303,1845,1374,74.5,5.4,Partner Report,Focus Group,Low
Kenya,East Africa,2023,Economic Security,Savings group members,5342,6779,5462,80.6,2.2,Admin Records,Direct Count,Medium
Kenya,East Africa,2023,Economic Security,Jobs created or maintained,6815,7744,5768,74.5,-15.4,Survey,Focus Group,Low
Kenya,East Africa,2024,Climate & Environment,Communities with DRR plans,3536,5094,3215,63.1,-9.1,Remote Sensing,Household Survey,Medium
Kenya,East Africa,2024,Climate & Environment,Early warning systems active,2664,3774,4475,118.6,68.0,Remote Sensing,Key Informant,Medium
Kenya,East Africa,2024,Climate & Environment,Hectares of land restored,1182,1569,1258,80.2,6.4,Survey,Household Survey,Medium
Kenya,East Africa,2024,Healthy & Safe Living,People with health access,6482,8013,8389,104.7,29.4,Admin Records,Direct Count,Medium
Kenya,East Africa,2024,Healthy & Safe Living,Vaccination rate (%),6612,8910,9672,108.6,46.3,Partner Report,Direct Count,High
Kenya,East Africa,2024,Healthy & Safe Living,Malnutrition cases treated,5456,7350,5175,70.4,-5.2,Remote Sensing,Focus Group,Low
Kenya,East Africa,2024,Migration & Identity,Migrants assisted,3114,4507,5222,115.9,67.7,Survey,Key Informant,Medium
Kenya,East Africa,2024,Migration & Identity,Stateless persons supported,6912,8051,6609,82.1,-4.4,Survey,Direct Count,Medium
Kenya,East Africa,2024,Migration & Identity,Legal documents issued,2527,2906,2974,102.3,17.7,Survey,Key Informant,High
Kenya,East Africa,2024,Values & Dignity,GBV survivors supported,8501,11391,12403,108.9,45.9,Remote Sensing,Focus Group,High
Kenya,East Africa,2024,Values & Dignity,Mental health sessions,3057,3889,3103,79.8,1.5,Remote Sensing,Household Survey,High
Kenya,East Africa,2024,Values & Dignity,Protection cases resolved,6010,8218,5746,69.9,-4.4,Partner Report,Focus Group,Medium
Kenya,East Africa,2024,Economic Security,HHs with improved income,144,180,136,75.6,-5.6,Survey,Direct Count,Low
Kenya,East Africa,2024,Economic Security,Savings group members,3404,4570,4772,104.4,40.2,Admin Records,Key Informant,Medium
Kenya,East Africa,2024,Economic Security,Jobs created or maintained,8373,12519,15145,121.0,80.9,Partner Report,Direct Count,Low
Kenya,East Africa,2025,Climate & Environment,Communities with DRR plans,9774,13453,11428,84.9,16.9,Admin Records,Direct Count,Low
Kenya,East Africa,2025,Climate & Environment,Early warning systems active,745,860,695,80.8,-6.7,Remote Sensing,Focus Group,Low
Kenya,East Africa,2025,Climate & Environment,Hectares of land restored,7578,9929,13470,135.7,77.8,Survey,Focus Group,Medium
Kenya,East Africa,2025,Healthy & Safe Living,People with health access,393,549,549,100.0,39.7,Remote Sensing,Household Survey,Medium
Kenya,East Africa,2025,Healthy & Safe Living,Vaccination rate (%),6936,10324,6817,66.0,-1.7,Remote Sensing,Key Informant,Medium
Kenya,East Africa,2025,Healthy & Safe Living,Malnutrition cases treated,9781,11450,8412,73.5,-14.0,Admin Records,Direct Count,Medium
Kenya,East Africa,2025,Migration & Identity,Migrants assisted,5019,6614,4029,60.9,-19.7,Survey,Key Informant,Low
Kenya,East Africa,2025,Migration & Identity,Stateless persons supported,9595,13286,12394,93.3,29.2,Partner Report,Direct Count,Medium
Kenya,East Africa,2025,Migration & Identity,Legal documents issued,170,236,205,86.9,20.6,Admin Records,Household Survey,High
Kenya,East Africa,2025,Values & Dignity,GBV survivors supported,7460,10862,9021,83.1,20.9,Admin Records,Direct Count,High
Kenya,East Africa,2025,Values & Dignity,Mental health sessions,7145,9346,6110,65.4,-14.5,Survey,Household Survey,Medium
Kenya,East Africa,2025,Values & Dignity,Protection cases resolved,8869,10619,7858,74.0,-11.4,Remote Sensing,Household Survey,Low
Kenya,East Africa,2025,Economic Security,HHs with improved income,5116,5831,5074,87.0,-0.8,Survey,Direct Count,Low
Kenya,East Africa,2025,Economic Security,Savings group members,3596,5079,4446,87.5,23.6,Partner Report,Household Survey,High
Kenya,East Africa,2025,Economic Security,Jobs created or maintained,6473,7222,7231,100.1,11.7,Partner Report,Key Informant,Low
Ethiopia,East Africa,2021,Climate & Environment,Communities with DRR plans,3381,4272,2403,56.2,-28.9,Survey,Direct Count,High
Ethiopia,East Africa,2021,Climate & Environment,Early warning systems active,5486,6654,6889,103.5,25.6,Admin Records,Direct Count,High
Ethiopia,East Africa,2021,Climate & Environment,Hectares of land restored,1729,2575,1963,76.2,13.5,Admin Records,Focus Group,High
Ethiopia,East Africa,2021,Healthy & Safe Living,People with health access,4889,6058,5675,93.7,16.1,Partner Report,Direct Count,High
Ethiopia,East Africa,2021,Healthy & Safe Living,Vaccination rate (%),7086,10015,11633,116.2,64.2,Admin Records,Key Informant,Medium
Ethiopia,East Africa,2021,Healthy & Safe Living,Malnutrition cases treated,1699,2342,2007,85.7,18.1,Partner Report,Focus Group,Low
Ethiopia,East Africa,2021,Migration & Identity,Migrants assisted,9089,11118,12732,114.5,40.1,Survey,Household Survey,High
Ethiopia,East Africa,2021,Migration & Identity,Stateless persons supported,2089,2721,3598,132.2,72.2,Survey,Key Informant,High
Ethiopia,East Africa,2021,Migration & Identity,Legal documents issued,4524,5313,4719,88.8,4.3,Admin Records,Household Survey,Medium
Ethiopia,East Africa,2021,Values & Dignity,GBV survivors supported,5630,7669,9781,127.5,73.7,Survey,Direct Count,Low
Ethiopia,East Africa,2021,Values & Dignity,Mental health sessions,2100,2511,1851,73.7,-11.9,Remote Sensing,Focus Group,High
Ethiopia,East Africa,2021,Values & Dignity,Protection cases resolved,5936,7561,7149,94.6,20.4,Survey,Focus Group,High
Ethiopia,East Africa,2021,Economic Security,HHs with improved income,6455,8360,6933,82.9,7.4,Admin Records,Focus Group,Low
Ethiopia,East Africa,2021,Economic Security,Savings group members,398,473,424,89.6,6.5,Survey,Household Survey,High
Ethiopia,East Africa,2021,Economic Security,Jobs created or maintained,2488,2950,2464,83.5,-1.0,Partner Report,Key Informant,Low
Ethiopia,East Africa,2022,Climate & Environment,Communities with DRR plans,8862,13256,7320,55.2,-17.4,Admin Records,Direct Count,Low
Ethiopia,East Africa,2022,Climate & Environment,Early warning systems active,5857,7983,7442,93.2,27.1,Survey,Focus Group,Medium
Ethiopia,East Africa,2022,Climate & Environment,Hectares of land restored,7184,8693,6780,78.0,-5.6,Survey,Direct Count,High
Ethiopia,East Africa,2022,Healthy & Safe Living,People with health access,2844,4252,4451,104.7,56.5,Admin Records,Direct Count,Low
Ethiopia,East Africa,2022,Healthy & Safe Living,Vaccination rate (%),1196,1605,1781,111.0,48.9,Admin Records,Direct Count,Low
Ethiopia,East Africa,2022,Healthy & Safe Living,Malnutrition cases treated,7601,10352,7590,73.3,-0.1,Remote Sensing,Focus Group,Low
Ethiopia,East Africa,2022,Migration & Identity,Migrants assisted,6143,7234,4654,64.3,-24.2,Admin Records,Household Survey,High
Ethiopia,East Africa,2022,Migration & Identity,Stateless persons supported,7520,10117,7448,73.6,-1.0,Admin Records,Household Survey,Low
Ethiopia,East Africa,2022,Migration & Identity,Legal documents issued,5923,7331,5128,69.9,-13.4,Survey,Focus Group,Low
Ethiopia,East Africa,2022,Values & Dignity,GBV survivors supported,5649,7138,5440,76.2,-3.7,Remote Sensing,Household Survey,Medium
Ethiopia,East Africa,2022,Values & Dignity,Mental health sessions,7693,9063,7742,85.4,0.6,Survey,Key Informant,High
Ethiopia,East Africa,2022,Values & Dignity,Protection cases resolved,9842,12313,12666,102.9,28.7,Survey,Key Informant,Medium
Ethiopia,East Africa,2022,Economic Security,HHs with improved income,8199,9777,11107,113.6,35.5,Partner Report,Household Survey,Low
Ethiopia,East Africa,2022,Economic Security,Savings group members,632,813,867,106.6,37.2,Partner Report,Key Informant,Medium
Ethiopia,East Africa,2022,Economic Security,Jobs created or maintained,8899,9987,12326,123.4,38.5,Remote Sensing,Focus Group,High
Ethiopia,East Africa,2023,Climate & Environment,Communities with DRR plans,1846,2363,1571,66.5,-14.9,Survey,Focus Group,Low
Ethiopia,East Africa,2023,Climate & Environment,Early warning systems active,2343,2878,2489,86.5,6.2,Partner Report,Direct Count,High
Ethiopia,East Africa,2023,Climate & Environment,Hectares of land restored,4698,6705,4932,73.6,5.0,Partner Report,Direct Count,High
Ethiopia,East Africa,2023,Healthy & Safe Living,People with health access,8799,9738,10281,105.6,16.8,Partner Report,Household Survey,Medium
Ethiopia,East Africa,2023,Healthy & Safe Living,Vaccination rate (%),5152,6115,5613,91.8,8.9,Partner Report,Direct Count,High
Ethiopia,East Africa,2023,Healthy & Safe Living,Malnutrition cases treated,528,619,461,74.5,-12.7,Partner Report,Focus Group,High
Ethiopia,East Africa,2023,Migration & Identity,Migrants assisted,1624,1911,1967,102.9,21.1,Admin Records,Household Survey,Medium
Ethiopia,East Africa,2023,Migration & Identity,Stateless persons supported,1957,2448,2578,105.3,31.7,Survey,Focus Group,Medium
Ethiopia,East Africa,2023,Migration & Identity,Legal documents issued,5315,7161,5945,83.0,11.9,Survey,Key Informant,Low
Ethiopia,East Africa,2023,Values & Dignity,GBV survivors supported,3578,4516,4470,99.0,24.9,Survey,Key Informant,High
Ethiopia,East Africa,2023,Values & Dignity,Mental health sessions,4630,5302,4709,88.8,1.7,Partner Report,Household Survey,Low
Ethiopia,East Africa,2023,Values & Dignity,Protection cases resolved,9093,10757,8883,82.6,-2.3,Partner Report,Focus Group,High
Ethiopia,East Africa,2023,Economic Security,HHs with improved income,6713,8514,7073,83.1,5.4,Survey,Focus Group,Medium
Ethiopia,East Africa,2023,Economic Security,Savings group members,1623,1817,1399,77.0,-13.8,Partner Report,Focus Group,Low
Ethiopia,East Africa,2023,Economic Security,Jobs created or maintained,952,1069,983,92.0,3.3,Admin Records,Household Survey,High
Ethiopia,East Africa,2024,Climate & Environment,Communities with DRR plans,9738,12601,10891,86.4,11.8,Survey,Household Survey,Medium
Ethiopia,East Africa,2024,Climate & Environment,Early warning systems active,796,989,966,97.7,21.4,Remote Sensing,Focus Group,Medium
Ethiopia,East Africa,2024,Climate & Environment,Hectares of land restored,8979,13461,6378,47.4,-29.0,Survey,Focus Group,High
Ethiopia,East Africa,2024,Healthy & Safe Living,People with health access,9780,12267,12071,98.4,23.4,Admin Records,Household Survey,Medium
Ethiopia,East Africa,2024,Healthy & Safe Living,Vaccination rate (%),2858,3366,1247,37.0,-56.4,Admin Records,Household Survey,Low
Ethiopia,East Africa,2024,Healthy & Safe Living,Malnutrition cases treated,375,453,444,98.0,18.4,Remote Sensing,Key Informant,Low
Ethiopia,East Africa,2024,Migration & Identity,Migrants assisted,2175,2532,2269,89.6,4.3,Admin Records,Key Informant,Medium
Ethiopia,East Africa,2024,Migration & Identity,Stateless persons supported,186,208,109,52.4,-41.4,Partner Report,Key Informant,Medium
Ethiopia,East Africa,2024,Migration & Identity,Legal documents issued,9071,10535,9388,89.1,3.5,Admin Records,Household Survey,Medium
Ethiopia,East Africa,2024,Values & Dignity,GBV survivors supported,3557,4002,3988,99.7,12.1,Remote Sensing,Key Informant,Low
Ethiopia,East Africa,2024,Values & Dignity,Mental health sessions,4895,6741,5982,88.7,22.2,Partner Report,Key Informant,Medium
Ethiopia,East Africa,2024,Values & Dignity,Protection cases resolved,9779,13690,11861,86.6,21.3,Remote Sensing,Focus Group,Medium
Ethiopia,East Africa,2024,Economic Security,HHs with improved income,4180,5686,4583,80.6,9.6,Survey,Direct Count,Medium
Ethiopia,East Africa,2024,Economic Security,Savings group members,8253,11477,10578,92.2,28.2,Survey,Household Survey,Medium
Ethiopia,East Africa,2024,Economic Security,Jobs created or maintained,9778,11290,10870,96.3,11.2,Admin Records,Focus Group,Low
Ethiopia,East Africa,2025,Climate & Environment,Communities with DRR plans,2200,2862,2432,85.0,10.5,Admin Records,Household Survey,Low
Ethiopia,East Africa,2025,Climate & Environment,Early warning systems active,4176,6209,5410,87.1,29.5,Admin Records,Household Survey,High
Ethiopia,East Africa,2025,Climate & Environment,Hectares of land restored,4195,4719,3404,72.1,-18.9,Survey,Household Survey,Low
Ethiopia,East Africa,2025,Healthy & Safe Living,People with health access,6567,8879,9203,103.6,40.1,Admin Records,Key Informant,Medium
Ethiopia,East Africa,2025,Healthy & Safe Living,Vaccination rate (%),1945,2267,1650,72.8,-15.2,Survey,Key Informant,Low
Ethiopia,East Africa,2025,Healthy & Safe Living,Malnutrition cases treated,1914,2753,2554,92.8,33.4,Survey,Direct Count,High
Ethiopia,East Africa,2025,Migration & Identity,Migrants assisted,5692,6512,5662,86.9,-0.5,Admin Records,Direct Count,High
Ethiopia,East Africa,2025,Migration & Identity,Stateless persons supported,2508,2860,2095,73.3,-16.5,Survey,Focus Group,Medium
Ethiopia,East Africa,2025,Migration & Identity,Legal documents issued,6835,9479,10207,107.7,49.3,Remote Sensing,Focus Group,Medium
Ethiopia,East Africa,2025,Values & Dignity,GBV survivors supported,3402,4014,2305,57.4,-32.2,Admin Records,Key Informant,Medium
Ethiopia,East Africa,2025,Values & Dignity,Mental health sessions,5886,7537,6240,82.8,6.0,Admin Records,Key Informant,Medium
Ethiopia,East Africa,2025,Values & Dignity,Protection cases resolved,8110,11415,10243,89.7,26.3,Partner Report,Direct Count,High
